Column1;Column2
Есть ли Wi-Fi?;📶 Подключение:<br>• Логин: FunLand_Free<br>• Пароль: Jump2023<br>• Скорость: 100 Мбит/с<br>📱 Покрытие на всех площадках
;
Сколько стоит вход?;"🎫 Базовая стоимость:<br>• Батуты — 800₽/час<br>• Нерф — 1200₽/1,5 часа<br>• VR — 1500₽/час<br>💳 Пакеты ""Все включено"" от 2500₽"
Есть ли абонементы?;"🏅 Варианты:<br>1. ""Новичок"" — 5 посещений за 3000₽<br>2. ""Профи"" — 12 посещений за 6000₽<br>3. ""Семья"" (2+2) — 8000₽<br>📅 Срок действия: 6 месяцев"
Какие скидки сегодня?;"🔥 Актуальные акции:<br>• ""Счастливый час"" — 40% скидка (10:00-12:00)<br>• ""Друзья"" — 3-й билет бесплатно<br>• Именинникам — 25%<br>📱 Промокод ""SUMMER23"" на скидку 15%"
Можно оплатить картой?;💳 Принимаем:<br>• Visa/Mastercard<br>• Apple/Google Pay<br>• Криптовалюты (BTC, ETH)<br>📲 QR-коды СБП<br>💵 Наличные в кассе
;
Как забронировать ДР?;"🎉 3 пакета:<br>1. ""Мини"" (8 гостей) — 7000₽<br>2. ""Мега"" (15 гостей) — 15000₽<br>3. ""VR-вечеринка"" — 12000₽<br>📞 Отдел мероприятий: +7 (XXX) XXX-XX-XX"
Можно свой торт?;🎂 Условия:<br>• Холодильник для торта<br>• Бесплатная посуда<br>• Украшение зоны (+500₽)<br>⚠️ Уведомить за 24 часа
Есть аниматоры?;🎭 Герои на выбор:<br>• Человек-паук<br>• Эльза<br>• Трансформер<br>• Клоун Смешинкин<br>🎨 Аквагрим в подарок
;
Какие меры безопасности?;🛡️ Контроль:<br>• Инструкторы на зонах<br>• Камеры наблюдения<br>• Аптечки AED<br>• Противопожарная система<br>📜 Инструктаж перед игрой
Есть медпункт?;🚑 Оборудование:<br>• Дефибриллятор<br>• Кислородный баллон<br>• Носилки<br>📞 Телефон медслужбы: 112 (с любого телефона)
;
Часы работы?;🕒 График:<br>• Пн-Пт: 10:00-22:00<br>• Сб-Вс: 09:00-23:00<br>• Последний сеанс за 1 час до закрытия<br>📅 Без выходных
;
Где оставить отзыв?;⭐ Площадки:<br>• Яндекс.Карты (4.9★)<br>• Google Maps (4.8★)<br>• TripAdvisor (5★)<br>📷 Отметка @funland в Instagram — бесплатный напиток
Как стать инструктором?;💼 Требования:<br>• Сертификат тренера (для батутов)<br>• Опыт работы от 1 года<br>• Медкнижка<br>📩 Резюме на hr@funland.ru
Есть франшиза?;🏢 Условия:<br>• Инвестиции от 3 млн руб.<br>• Окупаемость 1,5 года<br>• Обучение персонала<br>📞 Коммерческий отдел: +7 (XXX) XXX-XX-XX
